date,home_team,away_team,market_home_decimal,market_draw_decimal,market_away_decimal,notes
2026-06-11,Mexico,South Africa,0.69,0.21,0.11,Polymarket Jun 11
2026-06-11,South Korea,Czechia,0.38,0.32,0.32,Polymarket Jun 11 pre-kickoff
2026-06-12,Canada,Bosnia Herzegovina,0.54,0.27,0.2,Polymarket Jun 12
2026-06-12,United States,Paraguay,0.51,0.28,0.23,Polymarket Jun 12
2026-06-13,Qatar,Switzerland,0.063,0.14,0.81,Polymarket Jun 13
2026-06-13,Brazil,Morocco,0.59,0.26,0.18,Polymarket Jun 13
2026-06-13,Haiti,Scotland,0.16,0.23,0.63,Polymarket Jun 13
2026-06-13,Australia,Turkey,0.18,0.26,0.57,Polymarket Jun 13
2026-06-14,Sweden,Tunisia,0.515,0.285,0.205,Polymarket live 2026-06-14 18:28
2026-06-14,Netherlands,Japan,0.47,0.27,0.27,Polymarket Jun 14
2026-06-14,Germany,Curacao,0.939,0.045,0.022,Polymarket Jun 14
2026-06-14,Ivory Coast,Ecuador,0.27,0.34,0.4,Polymarket Jun 14
2026-06-15,Belgium,Egypt,0.605,0.245,0.165,Polymarket live 2026-06-14 18:28
2026-06-15,Iran,New Zealand,0.505,0.285,0.215,Polymarket live 2026-06-14 18:28
2026-06-15,Spain,Cape Verde,0.91,0.065,0.034,Polymarket Jun 15
2026-06-15,Saudi Arabia,Uruguay,0.125,0.225,0.655,Polymarket live 2026-06-14 18:28
2026-06-16,Austria,Jordan,0.725,0.175,0.105,Polymarket live 2026-06-14 18:28
2026-06-16,Argentina,Algeria,0.705,0.205,0.095,Polymarket live 2026-06-14 18:28
2026-06-16,France,Senegal,0.665,0.215,0.125,Polymarket live 2026-06-14 18:28
2026-06-16,Iraq,Norway,0.055,0.125,0.825,Polymarket live 2026-06-14 18:28
2026-06-17,Portugal,DR Congo,0.765,0.165,0.075,Polymarket live 2026-06-14 18:28
2026-06-17,Uzbekistan,Colombia,0.095,0.205,0.705,Polymarket live 2026-06-14 18:28
2026-06-17,England,Croatia,0.565,0.255,0.185,Polymarket live 2026-06-14 18:28
2026-06-17,Ghana,Panama,0.435,0.285,0.275,Polymarket live 2026-06-14 18:28
2026-06-18,Czechia,South Africa,0.545,0.255,0.205,Polymarket live 2026-06-14 18:28
2026-06-18,Mexico,South Korea,0.495,0.285,0.225,Polymarket live 2026-06-14 18:28
2026-06-18,Switzerland,Bosnia Herzegovina,0.615,0.235,0.155,Polymarket live 2026-06-14 18:28
2026-06-18,Canada,Qatar,0.765,0.165,0.075,Polymarket live 2026-06-14 18:28
2026-06-19,Turkey,Paraguay,,,,Round 2 — not yet priced
2026-06-19,Scotland,Morocco,0.175,0.255,0.555,Polymarket live 2026-06-14 18:28
2026-06-19,Brazil,Haiti,0.885,0.0805,0.0425,Polymarket live 2026-06-14 18:28
